"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"109","RT @Benj_manalo: Otwol Men.. :)
#otwol #otwolfamily #onthewingsoflove #jadine #teamraksnotdead #raksnotdead… https://t.co/1jAJcs06JR",FALSE,0,NA,2016-03-03 06:57:06,FALSE,NA,"705285855280107520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamcamzie23",21,TRUE,FALSE,NA,NA
"110","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:56:53,FALSE,NA,"705285802767462400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juskolordjadine",145,TRUE,FALSE,NA,NA
"111","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:56:33,FALSE,NA,"705285717958635520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hellokayewolf",145,TRUE,FALSE,NA,NA
"112","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:56:12,FALSE,NA,"705285629320437760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dee13Em",145,TRUE,FALSE,NA,NA
"113","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:56:05,FALSE,NA,"705285602078359552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","allforWxlf",145,TRUE,FALSE,NA,NA
"114","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:55:23,FALSE,NA,"705285425644965891",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","issa_jaye",145,TRUE,FALSE,NA,NA
"115","RT @wljdQC: Happy set = Good movie! <ed><U+00A0><U+00BD><ed><U+00B3><U+00BD> 
VOTE NADINE FOR MYX
#VoteJamesFPP #KCA
©@dinzcastro 
#JaDine… https://t.co/KV5Mribolv",FALSE,0,NA,2016-03-03 06:54:28,FALSE,NA,"705285193238650880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nethlayo",19,TRUE,FALSE,NA,NA
"116","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:54:27,FALSE,NA,"705285190663294976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bosspayatot",145,TRUE,FALSE,NA,NA
"117","RT @wljdQC: Inseparable? Always!<ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
VOTE NADINE FOR MYX
#VoteJamesFPP #KCA 
©@dinzcastro 
#JaDine #JamesReid… https://t.co/YsF20vIPIm",FALSE,0,NA,2016-03-03 06:54:09,FALSE,NA,"705285115992145920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nethlayo",16,TRUE,FALSE,NA,NA
"118","RT @dinzcastro: Happy set = Good movie! <ed><U+00A0><U+00BD><ed><U+00B3><U+00BD> #JaDine https://t.co/YUZEKr9BTd",FALSE,0,NA,2016-03-03 06:53:23,FALSE,NA,"705284923389685761",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HaymeNadyaHeart",293,TRUE,FALSE,NA,NA
"119","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:52:37,FALSE,NA,"705284728513961985",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","littlemissjadi2",145,TRUE,FALSE,NA,NA
"120","RT @jaiesq21: #Jadine my Loves!!!  #HolaMag <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

#NadineForMetro 

#VoteJamesFPP #KCA https://t.co/yaTxflDgwL",FALSE,0,NA,2016-03-03 06:51:21,FALSE,NA,"705284408756973569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MsPersistent_08",145,TRUE,FALSE,NA,NA
"121","RT @dinzcastro: Happy set = Good movie! <ed><U+00A0><U+00BD><ed><U+00B3><U+00BD> #JaDine https://t.co/YUZEKr9BTd",FALSE,0,NA,2016-03-03 06:51:09,FALSE,NA,"705284360266616832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TaffySky",293,TRUE,FALSE,NA,NA
