"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"13","RT @codekungz: <U+0E25><U+0E35><U+0E42><U+0E2D><U+0E40><U+0E02><U+0E49><U+0E32><U+0E0A><U+0E34><U+0E07> #Oscars <U+0E04><U+0E23><U+0E31><U+0E49><U+0E07><U+0E41><U+0E23><U+0E01><U+0E15><U+0E2D><U+0E19><U+0E2D><U+0E32><U+0E22><U+0E38> 19 <U+0E15><U+0E2D><U+0E19><U+0E19><U+0E35><U+0E49> 41 <U+0E22><U+0E34><U+0E19><U+0E14><U+0E35><U+0E14><U+0E49><U+0E27><U+0E22><U+0E08><U+0E23><U+0E34><U+0E07><U+0E46> <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> #movietwit",FALSE,0,NA,2016-03-03 08:03:48,FALSE,NA,"705302641933312000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Khunpreaw",601,TRUE,FALSE,NA,NA
"14","RT @Annie_Styles_69: <U+0422><U+0415><U+041F><U+0415><U+0420><U+042C> <U+0411><U+0423><U+0414><U+0423><U+0422> <U+0428><U+0423><U+0422><U+041E><U+0427><U+041A><U+0418> <U+0410><U+041B><U+042F>: <U+041B><U+0415><U+041E> <U+0416><U+0414><U+0410><U+041B> <U+0418> <U+0422><U+042B> <U+041F><U+041E><U+0414><U+041E><U+0416><U+0414><U+0415><U+0428><U+042C>
<U+041B><U+0415><U+041E> <U+0421><U+041C><U+041E><U+0413> <U+0418> <U+0422><U+042B> <U+0421><U+041C><U+041E><U+0416><U+0415><U+0428><U+042C>
#<U+041B><U+0435><U+043E><U+0424><U+043E><U+043B><U+043B><U+043E><U+0432><U+0438><U+0442><U+041E><U+0441><U+043A><U+0430><U+0440>
#Oscars",FALSE,0,NA,2016-03-03 08:03:43,FALSE,NA,"705302621544914944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Karmanov7991",68,TRUE,FALSE,NA,NA
"15","#SexualAssault @ladygaga #Music #Oscars https://t.co/OaeDoHbhJT",FALSE,0,NA,2016-03-03 08:03:42,FALSE,NA,"705302616050274304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tuffords",0,FALSE,FALSE,NA,NA
"16","RT @indiewire: EX MACHINA was the biggest Goliath story of the #Oscars. Here's how it won: https://t.co/5XTBNZ0u1P https://t.co/z39aaX5Y2P",FALSE,0,NA,2016-03-03 08:03:35,FALSE,NA,"705302587877269504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alekos2775",29,TRUE,FALSE,NA,NA
"17","RT @DSprayberry: Congrats #MarkMangini for winning best sound editing for #MadMaxFuryRoad at the #Oscars too bad we stole his award<ed><U+00A0><U+00BD><ed><U+00B8><U+008E> https:…",FALSE,0,NA,2016-03-03 08:03:31,FALSE,NA,"705302570160549888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DylanOBrien2426",1988,TRUE,FALSE,NA,NA
"18","RT @mukesh_pc: Priyanka Chopra stole the show
#Oscars @priyankachopra @TeamPriyanka 
https://t.co/qW9l8zriQX",FALSE,0,NA,2016-03-03 08:03:29,FALSE,NA,"705302563097149440",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","komalag02701232",84,TRUE,FALSE,NA,NA
"19","RT @TheWeekndNewsXO: The Weeknd at the #Oscars https://t.co/5DjuA8kHPJ",FALSE,0,NA,2016-03-03 08:03:27,FALSE,NA,"705302555778093056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_giannamarie66_",312,TRUE,FALSE,NA,NA
"20","RT @_DaisyRidley_: <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> #Oscars #DaisyRidley https://t.co/paxh6EXHda",FALSE,0,NA,2016-03-03 08:03:26,FALSE,NA,"705302550413754368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","xblaster",770,TRUE,FALSE,NA,NA
"21","RT @musicnews_shade: Lady Gaga and Lana Del Rey at the pre-Oscars dinner earlier on! #Oscars https://t.co/Co0ZiaFa1P",FALSE,0,NA,2016-03-03 08:03:18,FALSE,NA,"705302518511763456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ultramindless",1208,TRUE,FALSE,NA,NA
"22","RT @Joke_Jaith: #Oscars <U+0E1B><U+0E35><U+0E25><U+0E48><U+0E32><U+0E2A><U+0E38><U+0E14><U+0E21><U+0E35><U+0E1C><U+0E39><U+0E49><U+0E0A><U+0E21><U+0E0A><U+0E32><U+0E27><U+0E2D><U+0E40><U+0E21><U+0E23><U+0E34><U+0E01><U+0E31><U+0E19> 34.3 <U+0E25><U+0E49><U+0E32><U+0E19><U+0E04><U+0E19> <U+0E25><U+0E14><U+0E25><U+0E07><U+0E08><U+0E32><U+0E01><U+0E1B><U+0E35><U+0E01><U+0E48><U+0E2D><U+0E19> 6% <U+0E19><U+0E31><U+0E1A><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E01><U+0E32><U+0E23><U+0E16><U+0E48><U+0E32><U+0E22><U+0E17><U+0E2D><U+0E14><U+0E2A><U+0E14><U+0E17><U+0E35><U+0E48><U+0E21><U+0E35><U+0E04><U+0E19><U+0E14><U+0E39><U+0E19><U+0E49><U+0E2D><U+0E22><U+0E17><U+0E35><U+0E48><U+0E2A><U+0E38><U+0E14><U+0E43><U+0E19><U+0E23><U+0E2D><U+0E1A> 8 <U+0E1B><U+0E35> https://t.…",FALSE,0,NA,2016-03-03 08:03:18,FALSE,NA,"705302517748334592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","littlemon_mm",565,TRUE,FALSE,NA,NA
"23","RT @JBrunzGaming: The God damn best reaction video to #leo winning an #Oscars <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> https://t.co/04XrRfkQm6",FALSE,0,NA,2016-03-03 08:03:17,FALSE,NA,"705302510861492224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FiyinCara",3870,TRUE,FALSE,NA,NA
"24","Ping @binnightbot ... Is this your #Oscars equivalent? You deserve gold :)  https://t.co/PmgZ27SfDB",FALSE,0,NA,2016-03-03 08:03:16,FALSE,NA,"705302509087170560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nother_thing",0,FALSE,FALSE,NA,NA
"25","RT @TeenVogue: Dr. Luke tried to silence Kesha for supporting Lady Gaga's #Oscars performance: https://t.co/FQExGSIrIC https://t.co/YXwESIi…",FALSE,0,NA,2016-03-03 08:03:16,FALSE,NA,"705302506373566464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mysweetstefani",2935,TRUE,FALSE,NA,NA
"26","RT @ajplus: Latinos, Native Americans, women, foreigners – Hollywood screws them all. #Oscars
https://t.co/YJrr4CNHCv",FALSE,0,NA,2016-03-03 08:03:08,FALSE,NA,"705302475448852480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dollhouselucy",517,TRUE,FALSE,NA,NA
"27","RT @theSTASHED: Young Leo #Oscars https://t.co/a1IsDk6EEx",FALSE,0,NA,2016-03-03 08:03:03,FALSE,NA,"705302454456471552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joan_Mariie18",26,TRUE,FALSE,NA,NA
"28","RT @itsfuckingdiva: Lady Gaga full performance last night at the #Oscars singing Til it Happens To You https://t.co/XUtv2xaVRs",FALSE,0,NA,2016-03-03 08:03:03,FALSE,NA,"705302452518703104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","osunaas",9,TRUE,FALSE,NA,NA
"29","RT @Joke_Jaith: #Oscars <U+0E1B><U+0E35><U+0E17><U+0E35><U+0E48><U+0E40><U+0E23><U+0E15><U+0E15><U+0E34><U+0E49><U+0E07><U+0E14><U+0E35><U+0E17><U+0E35><U+0E48><U+0E2A><U+0E38><U+0E14><U+0E04><U+0E37><U+0E2D> <U+0E1B><U+0E35> 1998 <U+0E17><U+0E35><U+0E48> Titanic <U+0E04><U+0E27><U+0E49><U+0E32><U+0E44><U+0E1B> 11 <U+0E23><U+0E32><U+0E07><U+0E27><U+0E31><U+0E25> <U+0E21><U+0E35><U+0E1C><U+0E39><U+0E49><U+0E0A><U+0E21><U+0E16><U+0E36><U+0E07> 55.3 <U+0E25><U+0E49><U+0E32><U+0E19><U+0E04><U+0E19> #TeamKateLeo https://t.co/zFTjc…",FALSE,0,NA,2016-03-03 08:03:00,FALSE,NA,"705302442892595200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","littlemon_mm",1409,TRUE,FALSE,NA,NA
"30","This is a cruel thing you've done here. #starwars #oscars #C3PO https://t.co/rv4pMxmI2p",FALSE,1,NA,2016-03-03 08:02:59,FALSE,NA,"705302438346100736",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBBenator",0,FALSE,FALSE,NA,NA
"31","RT @palaciohierro: ""Héroes y Villanos"" en la #AlfombraRojaPH. #Oscars https://t.co/9M5c2PYFyG",FALSE,0,NA,2016-03-03 08:02:58,FALSE,NA,"705302431861575680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mrobbietrash",513,TRUE,FALSE,NA,NA
"32","RT @wwebalor: And the award for Best Romance goes to...  #Oscars https://t.co/Sl4D5O5ntc",FALSE,0,NA,2016-03-03 08:02:57,FALSE,NA,"705302430481838081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jimehhhhh",1312,TRUE,FALSE,NA,NA
"33","RT @EW: The Academy Award for Best Supporting Actress goes to…Alicia Vikander, #TheDanishGirl! #Oscars https://t.co/3QkuyfNT2q",FALSE,0,NA,2016-03-03 08:02:54,FALSE,NA,"705302415742992384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","90Breakdawn",452,TRUE,FALSE,NA,NA
"34","RT @_gracedove: Not gonna lie... Pretty bummed I didn't get an invite to the #Oscars.",FALSE,0,NA,2016-03-03 08:02:53,FALSE,NA,"705302410877493248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peterharveyfilm",654,TRUE,FALSE,NA,NA
"35","@startup_italia Due storie meravigliose! @PixarInsideOut @BearStory #creativity #cartoon #emotions #Oscars",FALSE,0,"startup_italia",2016-03-03 08:02:53,FALSE,"705294174661140481","705302409791315968","494357346","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","matteocasnati1",0,FALSE,FALSE,NA,NA
"36","RT @mukesh_pc: Priyanka Chopra stole the show
#Oscars @priyankachopra @TeamPriyanka 
https://t.co/qW9l8zriQX",FALSE,0,NA,2016-03-03 08:02:50,FALSE,NA,"705302398504316928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SamiraSD98",84,TRUE,FALSE,NA,NA
"37","RT @GooglePlay: Alicia Vikander wins Best Supporting Actress for portraying a most supportive artist #Oscars https://t.co/lLzl9lWIYQ https:…",FALSE,0,NA,2016-03-03 08:02:46,FALSE,NA,"705302381265870848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","90Breakdawn",44,TRUE,FALSE,NA,NA
"38","RT @juventusfc: .@gianluigibuffon non subisce gol in campionato da 746’, nuovo record personale in @SerieA_TIM #Oscars #JuveInter https://t…",FALSE,0,NA,2016-03-03 08:02:45,FALSE,NA,"705302379500060672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","love_JUVEN",523,TRUE,FALSE,NA,NA
"39","RT @PerezHilton: #MadMax just can't lose! The movie wins AGAIN for Makeup &amp; Hairstyling at the #Oscars! https://t.co/k7617JKFwR https://t.c…",FALSE,0,NA,2016-03-03 08:02:39,FALSE,NA,"705302353461833728",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","90Breakdawn",113,TRUE,FALSE,NA,NA
"40","RT @DINAVIRABYAN: @priyankachopra is drinking tequila and OMG she's so cute n funny #priyankachopra #Oscars #Oscars2016 @TeamPriyanka https…",FALSE,0,NA,2016-03-03 08:02:34,FALSE,NA,"705302330237952000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Freakoh",516,TRUE,FALSE,NA,NA
"41","RT @yraja789: The Chittar #Oscars Goes  to PerVaz Rasheed..... <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F> https://t.co/b492sJYzlD",FALSE,0,NA,2016-03-03 08:02:26,FALSE,NA,"705302299191734272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anwarbilla5",17,TRUE,FALSE,NA,NA
"42","RT @nowthisnews: Adam McKay's acceptance speech for The Big Short brought a little bit of @BernieSanders to the #Oscars https://t.co/kTAEOl…",FALSE,0,NA,2016-03-03 08:02:22,FALSE,NA,"705302282351431680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jeremypiven",215,TRUE,FALSE,NA,NA
"43","RT @SunnyHMoon: why is morgan freeman me? #oscars https://t.co/3dvlcZXREI",FALSE,0,NA,2016-03-03 08:02:17,FALSE,NA,"705302262449463296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nanakwayie",15765,TRUE,FALSE,NA,NA
"44","RT @EW: Lady Gaga shares her family's moving reaction to her #Oscars performance: https://t.co/RT8HTB7GY1 https://t.co/J24Lz7vhIy",FALSE,0,NA,2016-03-03 08:02:15,FALSE,NA,"705302251028537344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DoctahHu",15,TRUE,FALSE,NA,NA
"45","RT @GlennHeiser: Leonardo DiCaprio was Inspired by Bernie Sanders Fighting to Combat Climate Change! #Oscars https://t.co/TlaGxLHa2m",FALSE,0,NA,2016-03-03 08:02:12,FALSE,NA,"705302239791837184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrdaveAnddee",60,TRUE,FALSE,NA,NA
"46","RT @MilanShevaLive: <U+0E2D><U+0E35><U+0E40><U+0E2B><U+0E35><U+0E49><U+0E22> <U+0E19><U+0E35><U+0E48><U+0E21><U+0E36><U+0E07><U+0E14><U+0E35><U+0E43><U+0E08><U+0E01><U+0E31><U+0E1A><U+0E1E><U+0E35><U+0E48><U+0E25><U+0E35><U+0E42><U+0E2D> <U+0E2B><U+0E23><U+0E37><U+0E2D><U+0E21><U+0E36><U+0E07><U+0E08><U+0E30><U+0E40><U+0E1C><U+0E32><U+0E1A><U+0E49><U+0E32><U+0E19><U+0E40><U+0E1C><U+0E32><U+0E40><U+0E21><U+0E37><U+0E2D><U+0E07><U+0E01><U+0E31><U+0E19><U+0E41><U+0E19><U+0E48> <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 555555 #<U+0E2A><U+0E38><U+0E14><U+0E22><U+0E2D><U+0E14> #<U+0E01><U+0E39><U+0E08><U+0E30><U+0E44><U+0E21><U+0E48><U+0E22><U+0E2D><U+0E21><U+0E40><U+0E2B><U+0E47><U+0E19>GIF<U+0E19><U+0E35><U+0E49><U+0E04><U+0E19><U+0E40><U+0E14><U+0E35><U+0E22><U+0E27> #Oscars https…",FALSE,0,NA,2016-03-03 08:02:09,FALSE,NA,"705302227242590209",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Joshcar_",107,TRUE,FALSE,NA,NA
"47","RT @stevenartpop: #WATCH: Lady Gaga's powerful &amp; emotional performance of Til It Happens To You! #Oscars https://t.co/00DQYybb1x",FALSE,0,NA,2016-03-03 08:02:06,FALSE,NA,"705302216417124352",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","MatzCosty",1103,TRUE,FALSE,NA,NA
"48","RT @BritishVogue: DID YOU SEE? Leo and Kate's #Oscars embrace: https://t.co/B7biY4b5HV https://t.co/0HuWzUfMzC",FALSE,0,NA,2016-03-03 08:02:06,FALSE,NA,"705302214575853568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SalayaiaSali",14,TRUE,FALSE,NA,NA
"49","RT @SweetLoveMsg: JACK &amp; ROSE FOREVER. <U+2764><U+FE0F><U+2693><U+FE0F><ed><U+00A0><U+00BD><ed><U+00B2><U+0099> #Oscars https://t.co/mwJ07Rr4FS",FALSE,0,NA,2016-03-03 08:02:03,FALSE,NA,"705302203183947777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmanMokhtar",1422,TRUE,FALSE,NA,NA
"50","¿No viste los #Oscars? #MadMax arrasó y @LeoDiCaprio por fin se lleva una estatuilla~https://t.co/Q8SBLpOgoU https://t.co/ICm3P2wpxR",FALSE,1,NA,2016-03-03 08:02:01,FALSE,NA,"705302192941445120",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","RevistaMarvin",0,FALSE,FALSE,NA,NA
"51","RT @actdottv: Adam McKay: ""If you don't want big $ to control gov don't vote for candidates that take $ from big banks..."" #Oscars https://…",FALSE,0,NA,2016-03-03 08:01:58,FALSE,NA,"705302180232716288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrdaveAnddee",245,TRUE,FALSE,NA,NA
"52","RT @palaciohierro: ""Héroes y Villanos"" en la #AlfombraRojaPH. #Oscars https://t.co/9M5c2PYFyG",FALSE,0,NA,2016-03-03 08:01:56,FALSE,NA,"705302172250943488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GussParra",513,TRUE,FALSE,NA,NA
"53","RT @Joke_Jaith: <U+0E15><U+0E49><U+0E19><U+0E40><U+0E2B><U+0E15><U+0E38><U+0E04><U+0E37><U+0E2D> Sam <U+0E1E><U+0E39><U+0E14><U+0E1A><U+0E19><U+0E40><U+0E27><U+0E17><U+0E35><U+0E27><U+0E48><U+0E32><U+0E15><U+0E19><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E40><U+0E01><U+0E22><U+0E4C><U+0E17><U+0E35><U+0E48><U+0E40><U+0E1B><U+0E34><U+0E14><U+0E40><U+0E1C><U+0E22><U+0E15><U+0E31><U+0E27><U+0E40><U+0E2D><U+0E07><U+0E04><U+0E19><U+0E41><U+0E23><U+0E01><U+0E17><U+0E35><U+0E48><U+0E44><U+0E14><U+0E49> #Oscars <U+0E08><U+0E23><U+0E34><U+0E07><U+0E46><U+0E04><U+0E37><U+0E2D><U+0E44><U+0E21><U+0E48><U+0E43><U+0E0A><U+0E48> Sam <U+0E08><U+0E36><U+0E07><U+0E17><U+0E27><U+0E35><U+0E15><U+0E02><U+0E49><U+0E2D><U+0E04><U+0E27><U+0E32><U+0E21><U+0E02><U+0E2D><U+0E42><U+0E17><U+0E29><U+0E41><U+0E25><U+0E49><U+0E27> https:/…",FALSE,0,NA,2016-03-03 08:01:56,FALSE,NA,"705302170829266945",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","littlemon_mm",1035,TRUE,FALSE,NA,NA
"54","RT @elizabethforma: And no Best Picture award, but #TheBigShort made clear we will not forget that Wall St broke our economy. This ain't ov…",FALSE,0,NA,2016-03-03 08:01:51,FALSE,NA,"705302151099080704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DrdaveAnddee",1678,TRUE,FALSE,NA,NA
"55","RT @Romain_Balcer: Léo quand il est rentré chez lui après les #Oscars https://t.co/SBXu4Ev8du",FALSE,0,NA,2016-03-03 08:01:47,FALSE,NA,"705302134611386368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MathieuRG7",1860,TRUE,FALSE,NA,NA
